,App Name,Request Number,Note,TextToAnnotate,Information,Note
34,Signal,778,Done,"Request Number - 778 | Request Title - Feature Request: Only one notification for multiple messages received at once + Timestamps | Request Description - After being offline (flight mode / no internet connection) my device rings/vibrates multiple times, depending on how many messages have been sent by others in the meantime. Being in a quite active group my device vibrated for about 30 seconds this morning. I can see the point of being notified that not only one but multiple messages have been received but this should be reworked to a less annoying way (e.g., ring twice for multiple messages). Additionally, all messages that get then received are displayed with their receiving time. I would prefer having them displayed with the sending time, which can also be seen by looking in the message details. Maybe a menu entry to switch between both options would be a good idea because I can imagine people who like it the way it is handled now.","('#778', 'Signal', 'Feature Request: Only one notification for multiple messages received at once + Timestamps', 'After being offline (flight mode / no internet connection) my device rings/vibrates multiple times, depending on how many messages have been sent by others in the meantime. Being in a quite active group my device vibrated for about 30 seconds this morning. I can see the point of being notified that not only one but multiple messages have been received but this should be reworked to a less annoying way (e.g., ring twice for multiple messages). Additionally, all messages that get then received are displayed with their receiving time. I would prefer having them displayed with the sending time, which can also be seen by looking in the message details. Maybe a menu entry to switch between both options would be a good idea because I can imagine people who like it the way it is handled now.', 'Request Number - 778 | Request Title - Feature Request: Only one notification for multiple messages received at once + Timestamps | Request Description - After being offline (flight mode / no internet connection) my device rings/vibrates multiple times, depending on how many messages have been sent by others in the meantime. Being in a quite active group my device vibrated for about 30 seconds this morning. I can see the point of being notified that not only one but multiple messages have been received but this should be reworked to a less annoying way (e.g., ring twice for multiple messages). Additionally, all messages that get then received are displayed with their receiving time. I would prefer having them displayed with the sending time, which can also be seen by looking in the message details. Maybe a menu entry to switch between both options would be a good idea because I can imagine people who like it the way it is handled now.')",
2,Signal,780,Done,"Request Number - 780 | Request Title - Deduplicate messages | Request Description - Currently TextSecure (2.0.1) can only import messages from the default Android SMS application once. Afterwards doing the same again results in duplicate messages. It would be nice to be able to deduplicate them. I assume that going through the list of messages and comparing from, to, time and text would be sufficient. Then just delete everything except the first occurance. Please excuse me, if this is a duplicate of another issue. It was hard to find good search terms, since ""duplicate"" occurs extremely often as ""duplicate of issue #..."".","('#780', 'Signal', 'Deduplicate messages', 'Currently TextSecure (2.0.1) can only import messages from the default Android SMS application once. Afterwards doing the same again results in duplicate messages. It would be nice to be able to deduplicate them. I assume that going through the list of messages and comparing from, to, time and text would be sufficient. Then just delete everything except the first occurance. Please excuse me, if this is a duplicate of another issue. It was hard to find good search terms, since ""duplicate"" occurs extremely often as ""duplicate of issue #..."".', 'Request Number - 780 | Request Title - Deduplicate messages | Request Description - Currently TextSecure (2.0.1) can only import messages from the default Android SMS application once. Afterwards doing the same again results in duplicate messages. It would be nice to be able to deduplicate them. I assume that going through the list of messages and comparing from, to, time and text would be sufficient. Then just delete everything except the first occurance. Please excuse me, if this is a duplicate of another issue. It was hard to find good search terms, since ""duplicate"" occurs extremely often as ""duplicate of issue #..."".')",
24,Signal,802,Done,"Request Number - 802 | Request Title - Feature Request: import and export keys to file, Bluetooth, QR, and NFC | Request Description - more specificly I'd like to be able to import and export the private key, and public keys to files. I'd also like to be able to import and export public keys via bluetooth, NFC, and QR code. Something like this: https://play.google.com/store/apps/details?id=org.sufficientlysecure.keychain The do key management pretty well, for GPG. (sadly no one writes apps that use their wonderful app, but seriously, best key management app there is.) its also open source, I wonder if you could steal some code from them, and use their key management interface. Reasons I need this new phone, I need to securely wipe the old key, export the old key to a file, and then re-import it. Lost phone, in case I loose my phone, I can reuse the same gpg key. Device immaterial - once I have a back up file of the private key, I can store that on an encrypted parition, or container, and bounce that around as I see fit between devices, PCs, internet storage, etc.. I can then bring it back when I need it. I can also switch between phones at will. For public keys. in addition to reasons 1-3, having a good back up of my friend's public keys, I can easily re-import them, and share them with other people as needed, to make the fewest amounts of key exchanges needed. I can set up phones for people with all the public keys they need. just load them up, and go. This would just make an already good app fucking awesome.","('#802', 'Signal', 'Feature Request: import and export keys to file, Bluetooth, QR, and NFC', ""more specificly I'd like to be able to import and export the private key, and public keys to files. I'd also like to be able to import and export public keys via bluetooth, NFC, and QR code. Something like this: https://play.google.com/store/apps/details?id=org.sufficientlysecure.keychain The do key management pretty well, for GPG. (sadly no one writes apps that use their wonderful app, but seriously, best key management app there is.) its also open source, I wonder if you could steal some code from them, and use their key management interface. Reasons I need this new phone, I need to securely wipe the old key, export the old key to a file, and then re-import it. Lost phone, in case I loose my phone, I can reuse the same gpg key. Device immaterial - once I have a back up file of the private key, I can store that on an encrypted parition, or container, and bounce that around as I see fit between devices, PCs, internet storage, etc.. I can then bring it back when I need it. I can also switch between phones at will. For public keys. in addition to reasons 1-3, having a good back up of my friend's public keys, I can easily re-import them, and share them with other people as needed, to make the fewest amounts of key exchanges needed. I can set up phones for people with all the public keys they need. just load them up, and go. This would just make an already good app fucking awesome."", ""Request Number - 802 | Request Title - Feature Request: import and export keys to file, Bluetooth, QR, and NFC | Request Description - more specificly I'd like to be able to import and export the private key, and public keys to files. I'd also like to be able to import and export public keys via bluetooth, NFC, and QR code. Something like this: https://play.google.com/store/apps/details?id=org.sufficientlysecure.keychain The do key management pretty well, for GPG. (sadly no one writes apps that use their wonderful app, but seriously, best key management app there is.) its also open source, I wonder if you could steal some code from them, and use their key management interface. Reasons I need this new phone, I need to securely wipe the old key, export the old key to a file, and then re-import it. Lost phone, in case I loose my phone, I can reuse the same gpg key. Device immaterial - once I have a back up file of the private key, I can store that on an encrypted parition, or container, and bounce that around as I see fit between devices, PCs, internet storage, etc.. I can then bring it back when I need it. I can also switch between phones at will. For public keys. in addition to reasons 1-3, having a good back up of my friend's public keys, I can easily re-import them, and share them with other people as needed, to make the fewest amounts of key exchanges needed. I can set up phones for people with all the public keys they need. just load them up, and go. This would just make an already good app fucking awesome."")",
38,Signal,817,Done,"Request Number - 817 | Request Title - Display shorter fingerprint, enable sharing of fingerprint | Request Description - To enable faster sharing of the fingerprint, let the user copy the fingerprint and send it over a secure channel (inform the user that the channel needs to be secure). Also, don't display the hex of the fingerprint but rather something the user can easily read out:  base58-encoding poetry-encoding","('#817', 'Signal', 'Display shorter fingerprint, enable sharing of fingerprint', ""To enable faster sharing of the fingerprint, let the user copy the fingerprint and send it over a secure channel (inform the user that the channel needs to be secure). Also, don't display the hex of the fingerprint but rather something the user can easily read out: \nbase58-encoding\npoetry-encoding"", ""Request Number - 817 | Request Title - Display shorter fingerprint, enable sharing of fingerprint | Request Description - To enable faster sharing of the fingerprint, let the user copy the fingerprint and send it over a secure channel (inform the user that the channel needs to be secure). Also, don't display the hex of the fingerprint but rather something the user can easily read out:  base58-encoding poetry-encoding"")",
12,Signal,895,Done,"Request Number - 895 | Request Title - Feature request: Add an option for 'Delayed Sending' | Request Description - I would like a 'Delayed Sending' option to be added to the settings. This is very useful in case you left an embarrassing typo, forgot something important or if you just change your mind and don't want to send the message. Both Chomp SMS and Handcent SMS have this excellent feature. Delay options from 1 to 5 seconds should be enough. Thanks!","('#895', 'Signal', ""Feature request: Add an option for 'Delayed Sending'"", ""I would like a 'Delayed Sending' option to be added to the settings. This is very useful in case you left an embarrassing typo, forgot something important or if you just change your mind and don't want to send the message. Both Chomp SMS and Handcent SMS have this excellent feature. Delay options from 1 to 5 seconds should be enough. Thanks!"", ""Request Number - 895 | Request Title - Feature request: Add an option for 'Delayed Sending' | Request Description - I would like a 'Delayed Sending' option to be added to the settings. This is very useful in case you left an embarrassing typo, forgot something important or if you just change your mind and don't want to send the message. Both Chomp SMS and Handcent SMS have this excellent feature. Delay options from 1 to 5 seconds should be enough. Thanks!"")",
48,Signal,916,Here,"Request Number - 916 | Request Title - Allow to set and sync Contact Pictures | Request Description - Allow users to set their own contact picture and sync it to other TextSecure users. In contrast to WhatsApp, provide those pictures to the system contact list to be used in any app, including but not limited to TextSecure. Is this possible using a SyncAdapter ( #890 ) coupled with a ContentProvider?","('#916', 'Signal', 'Allow to set and sync Contact Pictures', 'Allow users to set their own contact picture and sync it to other TextSecure users. In contrast to WhatsApp, provide those pictures to the system contact list to be used in any app, including but not limited to TextSecure. Is this possible using a SyncAdapter ( #890 ) coupled with a ContentProvider?', 'Request Number - 916 | Request Title - Allow to set and sync Contact Pictures | Request Description - Allow users to set their own contact picture and sync it to other TextSecure users. In contrast to WhatsApp, provide those pictures to the system contact list to be used in any app, including but not limited to TextSecure. Is this possible using a SyncAdapter ( #890 ) coupled with a ContentProvider?')",
25,Signal,957,Done,"Request Number - 957 | Request Title - Delivery reports for PUSHed messages? | Request Description - SMS messages support the notion of a delivery report that allows me to see when a message was actually delivered to the recipient. I miss that feature for PUSHed messages, though. It seems there is no way to request a delivery report?","('#957', 'Signal', 'Delivery reports for PUSHed messages?', 'SMS messages support the notion of a delivery report that allows me to see when a message was actually delivered to the recipient. I miss that feature for PUSHed messages, though. It seems there is no way to request a delivery report?', 'Request Number - 957 | Request Title - Delivery reports for PUSHed messages? | Request Description - SMS messages support the notion of a delivery report that allows me to see when a message was actually delivered to the recipient. I miss that feature for PUSHed messages, though. It seems there is no way to request a delivery report?')",
11,Signal,1064,Done,"Request Number - 1064 | Request Title - Group Leaving vs Thread Deletion | Request Description - Deleting a group thread looks like leaving a group. But deleting the thread does not remove me from a group, but until someone writes to that group or updates it, i am not able to write to that group, as i have no open thread i could select. I propose: thread deletion for groups should just clear all messages without removing the group from the thread list","('#1064', 'Signal', 'Group Leaving vs Thread Deletion', 'Deleting a group thread looks like leaving a group. But deleting the thread does not remove me from a group, but until someone writes to that group or updates it, i am not able to write to that group, as i have no open thread i could select. I propose: thread deletion for groups should just clear all messages without removing the group from the thread list', 'Request Number - 1064 | Request Title - Group Leaving vs Thread Deletion | Request Description - Deleting a group thread looks like leaving a group. But deleting the thread does not remove me from a group, but until someone writes to that group or updates it, i am not able to write to that group, as i have no open thread i could select. I propose: thread deletion for groups should just clear all messages without removing the group from the thread list')",
5,Signal,1211,Done,Request Number - 1211 | Request Title - Chat scrolls when new messages are received | Request Description - When being in a chat and messages are received the chat scrolls with them to the most recent message. So when you have received something over 100 messages (like when you are in an active group chat) you have to scroll quite some time up until you reach the part you read last. It would be far more convenient if the chat stayed where you left it/where the new received messages start and you could then just continue reading.,"('#1211', 'Signal', 'Chat scrolls when new messages are received', 'When being in a chat and messages are received the chat scrolls with them to the most recent message. So when you have received something over 100 messages (like when you are in an active group chat) you have to scroll quite some time up until you reach the part you read last. It would be far more convenient if the chat stayed where you left it/where the new received messages start and you could then just continue reading.', 'Request Number - 1211 | Request Title - Chat scrolls when new messages are received | Request Description - When being in a chat and messages are received the chat scrolls with them to the most recent message. So when you have received something over 100 messages (like when you are in an active group chat) you have to scroll quite some time up until you reach the part you read last. It would be far more convenient if the chat stayed where you left it/where the new received messages start and you could then just continue reading.')",
41,Signal,1407,Here,"Request Number - 1407 | Request Title - textsecure not an option when ""sharing"" an address book contact | Request Description - TextSecure is not an option when attempting to share a contact from the address book, in Android 4.4.2 when i select ""messaging"" it tells me ""messaging"" is not the default sms app. This would be a nice feature to have added to the app.","('#1407', 'Signal', 'textsecure not an option when ""sharing"" an address book contact', 'TextSecure is not an option when attempting to share a contact from the address book, in Android 4.4.2 when i select ""messaging"" it tells me ""messaging"" is not the default sms app. This would be a nice feature to have added to the app.', 'Request Number - 1407 | Request Title - textsecure not an option when ""sharing"" an address book contact | Request Description - TextSecure is not an option when attempting to share a contact from the address book, in Android 4.4.2 when i select ""messaging"" it tells me ""messaging"" is not the default sms app. This would be a nice feature to have added to the app.')",
28,Signal,1504,Done,Request Number - 1504 | Request Title - Notification Color for Individual Contacts or Groups | Request Description - how about we edit this one too?  or just delete it..... 🙈,"('#1504', 'Signal', 'Notification Color for Individual Contacts or Groups', 'how about we edit this one too?  or just delete it..... 🙈', 'Request Number - 1504 | Request Title - Notification Color for Individual Contacts or Groups | Request Description - how about we edit this one too?  or just delete it..... 🙈')",
47,Signal,1509,Here,Request Number - 1509 | Request Title - Adjustable font scaling | Request Description - It would be nice to be able to scale the font size of messages with respect to the system font size.  Sometimes it is convenient to see more conversation history on the screen at the expense of smaller sizes and reduced readability.,"('#1509', 'Signal', 'Adjustable font scaling', 'It would be nice to be able to scale the font size of messages with respect to the system font size.  Sometimes it is convenient to see more conversation history on the screen at the expense of smaller sizes and reduced readability.', 'Request Number - 1509 | Request Title - Adjustable font scaling | Request Description - It would be nice to be able to scale the font size of messages with respect to the system font size.  Sometimes it is convenient to see more conversation history on the screen at the expense of smaller sizes and reduced readability.')",
36,Signal,1699,Done,"Request Number - 1699 | Request Title - Add Android Wear support | Request Description - Hangouts has the possibility to answer with predefined answers or voice. Something similar would be awesome for TextSecure. Since all this works over notifications, this should be reasonably easy to intergrate.","('#1699', 'Signal', 'Add Android Wear support', 'Hangouts has the possibility to answer with predefined answers or voice. Something similar would be awesome for TextSecure. Since all this works over notifications, this should be reasonably easy to intergrate.', 'Request Number - 1699 | Request Title - Add Android Wear support | Request Description - Hangouts has the possibility to answer with predefined answers or voice. Something similar would be awesome for TextSecure. Since all this works over notifications, this should be reasonably easy to intergrate.')",
30,Signal,1761,Done,Request Number - 1761 | Request Title - Automatic SMS forwarding | Request Description - It would be awesome to be able to automatically forward all incoming SMS from a certain contact to another contact.,"('#1761', 'Signal', 'Automatic SMS forwarding', 'It would be awesome to be able to automatically forward all incoming SMS from a certain contact to another contact.', 'Request Number - 1761 | Request Title - Automatic SMS forwarding | Request Description - It would be awesome to be able to automatically forward all incoming SMS from a certain contact to another contact.')",
33,Signal,1819,Done,"Request Number - 1819 | Request Title - Request - UI : Sliding pannel & option.  | Request Description - Hello, I believe that  there is a non-sense in the UI with a sliding panel on the left and a ""regular"" menu. In my sense they should be only one, 2 way to access the ""option"" is confusing. One thing could be that the sliding menu and the option button could trigger the slide. Regards,","('#1819', 'Signal', 'Request - UI : Sliding pannel & option. ', 'Hello, I believe that  there is a non-sense in the UI with a sliding panel on the left and a ""regular"" menu. In my sense they should be only one, 2 way to access the ""option"" is confusing. One thing could be that the sliding menu and the option button could trigger the slide. Regards,', 'Request Number - 1819 | Request Title - Request - UI : Sliding pannel & option.  | Request Description - Hello, I believe that  there is a non-sense in the UI with a sliding panel on the left and a ""regular"" menu. In my sense they should be only one, 2 way to access the ""option"" is confusing. One thing could be that the sliding menu and the option button could trigger the slide. Regards,')",
21,Signal,2055,Done,"Request Number - 2055 | Request Title - use delivery receipts to show message received time for outgoing messages | Request Description - After long pressing on a message and selecting the info button, the message details are shown. This includes the sent and received times for incoming messages. For outgoing messages, in contrast, only one Sent/Received time is displayed, probably containing sent time. Now that delivery receipts are implemented, it would be possible to display the received time for outgoing messages (by taking the sent time from the receipt). Or to make it more precise, let the receipt message piggybag the real received time. This would make the user interface more consistent. When this is rejected for some reasons, I suggest renaming the ""Sent/Received"" label for outgoing messages to ""Sent"" because this is what it really is about.","('#2055', 'Signal', 'use delivery receipts to show message received time for outgoing messages', 'After long pressing on a message and selecting the info button, the message details are shown. This includes the sent and received times for incoming messages. For outgoing messages, in contrast, only one Sent/Received time is displayed, probably containing sent time. Now that delivery receipts are implemented, it would be possible to display the received time for outgoing messages (by taking the sent time from the receipt). Or to make it more precise, let the receipt message piggybag the real received time. This would make the user interface more consistent. When this is rejected for some reasons, I suggest renaming the ""Sent/Received"" label for outgoing messages to ""Sent"" because this is what it really is about.', 'Request Number - 2055 | Request Title - use delivery receipts to show message received time for outgoing messages | Request Description - After long pressing on a message and selecting the info button, the message details are shown. This includes the sent and received times for incoming messages. For outgoing messages, in contrast, only one Sent/Received time is displayed, probably containing sent time. Now that delivery receipts are implemented, it would be possible to display the received time for outgoing messages (by taking the sent time from the receipt). Or to make it more precise, let the receipt message piggybag the real received time. This would make the user interface more consistent. When this is rejected for some reasons, I suggest renaming the ""Sent/Received"" label for outgoing messages to ""Sent"" because this is what it really is about.')",
22,Signal,2159,Done,"Request Number - 2159 | Request Title - Share multiple photos (files) | Request Description - Hi, I love TextSecure but there's one thing that I find rather annoying. It often happens that I want to share some pics with someone (more than just one pic), and I have to select them one at a time instead of selecting them all and sending them all at once. It would be cool if I could pick them from the gallery and then click ""share"" and send them without going through the procedure n times. I don't think this should be hard to implement and it would save so much time and improve usability greatly. Thank you","('#2159', 'Signal', 'Share multiple photos (files)', 'Hi, I love TextSecure but there\'s one thing that I find rather annoying. It often happens that I want to share some pics with someone (more than just one pic), and I have to select them one at a time instead of selecting them all and sending them all at once. It would be cool if I could pick them from the gallery and then click ""share"" and send them without going through the procedure n times. I don\'t think this should be hard to implement and it would save so much time and improve usability greatly. Thank you', 'Request Number - 2159 | Request Title - Share multiple photos (files) | Request Description - Hi, I love TextSecure but there\'s one thing that I find rather annoying. It often happens that I want to share some pics with someone (more than just one pic), and I have to select them one at a time instead of selecting them all and sending them all at once. It would be cool if I could pick them from the gallery and then click ""share"" and send them without going through the procedure n times. I don\'t think this should be hard to implement and it would save so much time and improve usability greatly. Thank you')",
